name,lat,lon
Shkodra,42.06117349004038,19.527521155981447
Mjede,41.99287788975403,19.612356069686918
Hajmel,41.9526556814714,19.63233394987365
Baqel,41.89980108899839,19.65058138608458
Lezhe,41.7805731881832,19.638575710020653
Milot,41.67869180801738,19.70896373659444
Lac Udhetareve,41.63796183940506,19.70073780670278
Lac Gjorm,41.61715925240767,19.701223357213912
Mamurras,41.58082506340094,19.688256652383785
Ishem,41.49148792937072,19.66235498801152
Budull,41.45154326688818,19.67203918379148
Sukth,41.37105180031041,19.55755217411301
Shkozet,41.31626272621052,19.4774115986119
Durres,41.31783801429362,19.45506226079066
Golem,41.25597868247058,19.526875375452835
Kavaje,41.17806654131898,19.56712811866061
Lekaj,41.11433729369198,19.60761577346381
Rrogozhine,41.07909646259293,19.66846321701073
Peqin,41.0477932548125,19.74919237673674
Bishqem,41.058812391845706,19.843970471537
Paper,41.05393412794804,19.954164449891195
Elbasan,41.10483171985948,20.074531414911892
Mirake,41.16609219770267,20.221753503723885
Librazhd,41.18728971325805,20.312394955052568
Prenjas,41.067370025224406,20.547539952025694
Pogradec,40.93271643030749,20.639022775138805
Dushk,40.99680577507751,19.66746671140247
Lushnje,40.9394392501371,19.69836926238352
Gradisht,40.88532000855355,19.59451743495261
Libofshe,40.83097509924763,19.563345330098272
Fier,40.73015568183326,19.553295689495684
Levan,40.67785545507488,19.492387681114707
Narte,40.493942223595646,19.45053246478884
Vlora,40.46708872292978,19.47730251264074
Ballsh,40.60427408228848,19.738878802330916
