itemLabel,lat,long,ibnr
Manzing-Prambach,48.331807,13.888649,8101254
Straßhof/Aschach,48.277422,13.753469,8101515
Rufling,48.275031,14.226292,8101458
Alkoven,48.288173,14.116633,8100209
Wehrgasse,48.288919,14.143933,8101906
Kledt,48.273889,13.739563,8102066
Prattsdorf-Dachsberg,48.315105,13.929109,8101340
Stefansdorf,48.306862,13.790783,8101486
Eferding Gewerbegebiet,48.30208,14.0218,8100737
Sperneck b. Eferding,48.291301,13.993777,8101576
Schurrerprambach,48.342306,13.875767,8101581
Alkoven Schule,48.286339,14.103805,8100614
Unterhillinglah,48.292776,14.028431,8101855
Peuerbach,48.337738057591,13.770525455475,8100522
Thurnharting,48.269116,14.185311,8101666
Kirnberg b. Eferding,48.301145,13.962962,8101956
Itzling,48.312947,13.794873,8101006
Leonding Lokalbahn,48.27449,14.25457,8101167
Waizenkirchen,48.330791,13.853797,8100339
Prambachkirchen-Bad Weinberg,48.314988,13.901287,8101844
Untergaumberg,48.280137,14.280165,8101699
Gstocket,48.306277,13.9556,8100891
Oberaschach,48.279022,13.757811,8101294
Straßham-Schönering,48.283679,14.147907,8101594
Leonding Straßfeld,48.27464,14.24579,8101499
Pötting im Hausruckkreis,48.285171,13.767888,8101379
Kirchberg-Thürnau,48.275067,14.165957,8101049
Am Dürrweg,48.274105,14.231147,8100606
Wackersbach,48.296407,13.98006,8101730
Prambeckenhof,48.291239,13.781983,8101339
Hochscharten,48.333946,13.859586,8100960
Fraham b. Eferding,48.287607,14.040153,8100804
Bergham,48.273943,14.239866,8100565
Dörnbach-Hitzing,48.271273,14.201222,8100717
Willersdorf an der Aschach,48.325532,13.832124,8101767
Straß-Emling,48.287832,14.081782,8101493
Niederspaching,48.323001485512,13.810136318207,8100438
Gschnarret,48.311644,13.938961,8100885
