Bahnhofsnr,Ort,Längengrad,Breitengrad
301,Estació Intermodal – Plaça Espanya,39.57624,2.65199
302,Jacint Verdaguer,39.58006,2.66028
303,Son Costa – Son Fortesa,39.58423,2.66582
204,Son Fuster,39.59024,2.67467
205,Verge de Lluc,39.59673,2.68628
206,Pont d’Inca,39.59812,2.69186
207,Pont d’Inca Nou,39.60444,2.70152
208,Polígon de Marratxí,39.61556,2.71687
209,Marratxí,39.6254,2.72561
211,Santa Maria,39.65326,2.77436
213,Binissalem,39.69256,2.84134
214,Lloseta,39.71607,2.86891
215,Inca,39.71809,2.90585
216,Enllaç,39.69069,2.95126
217,Llubí,39.71136,2.99401
218,Muro,39.73402,3.03195
219,Sa Pobla,39.76475,3.02914
220,Sineu,39.64355,3.01455
222,Petra,39.61814,3.11087
223,Manacor,39.57038,3.20251
224,Son Cladera,39.5934,2.67941
210,Es Caülls/ Festival Park,39.63197,2.73646
