stationId;stop_id;stop_code;stop_name;stop_desc;stop_lat;stop_lon;zone_id
1046;2;95002;Absecon;;39.424333;-74.502094;333
1047;3;95003;Allendale;;41.030902;-74.130957;2893
1048;4;95004;Allenhurst;;40.237659;-74.006769;5453
1049;5;95005;Anderson Street;;40.894458;-74.043781;1357
1050;6;95006;Annandale;;40.645173;-74.878569;5197
1051;8;95008;Asbury Park;;40.215359;-74.014786;5453
1052;9;95009;Atco;;39.783547;-74.907588;4429
1053;10;95010;Atlantic City;;39.363299;-74.441486;77
1054;11;95011;Avenel;;40.57762;-74.27753;2381
1055;12;95012;Basking Ridge;;40.711378;-74.55527;4173
1056;13;95013;Bay Head;;40.077178;-74.046183;5965
1057;14;95014;Bay Street;;40.808178;-74.208681;1357
1058;15;95015;Belmar;;40.18059;-74.027301;5709
1059;17;95017;Berkeley Heights;;40.682345;-74.442649;2893
1060;18;95018;Bernardsville;;40.716845;-74.571023;4173
1061;19;95019;Bloomfield;;40.792709;-74.200043;1101
1062;20;95020;Boonton;;40.903378;-74.407736;3661
1063;21;95021;Bound Brook;;40.560929;-74.530617;3661
1064;22;95022;Bradley Beach;;40.203751;-74.018891;5453
1065;23;95023;Brick Church;;40.765134;-74.218612;1101
1066;24;95024;Bridgewater;;40.559904;-74.551741;3917
1067;25;95025;Broadway;;40.922505;-74.115236;1613
1068;26;95026;Campbell Hall;;41.450917;-74.266554;5709
1069;27;95027;Chatham;;40.740137;-74.384812;2637
1070;28;95028;Cherry Hill;;39.928447;-75.041661;5197
1071;29;95029;Clifton;;40.867998;-74.153206;1357
1072;30;95030;Convent;;40.779038;-74.443435;3149
1073;31;95031;Roselle Park;;40.66715;-74.266323;1613
1074;32;95032;Cranford;;40.655523;-74.303226;1869
1075;33;95033;Delawanna;;40.831369;-74.131262;845
1076;34;95034;Denville;;40.8839;-74.481513;4173
1077;35;95035;Dover;;40.883415;-74.555887;4429
1078;36;95036;Dunellen;;40.590869;-74.463043;3149
1079;37;95037;East Orange;;40.760977;-74.210464;1101
1080;38;95038;Edison Station;;40.519148;-74.410972;3405
1081;39;95039;Egg Harbor;;39.526441;-74.648028;1613
1082;40;95040;Elberon;;40.265292;-73.99762;5197
1083;41;95041;Elizabeth;;40.667857;-74.215174;1357
1084;42;95042;Emerson;;40.975036;-74.027474;2125
1085;43;95043;Essex Street;;40.878973;-74.051893;1357
1086;44;95044;Fanwood;;40.64106;-74.385003;2381
1087;45;95045;Far Hills;;40.68571;-74.633734;4429
1088;46;95046;Garfield;;40.866669;-74.10556;1101
1089;47;95047;Garwood;;40.652569;-74.324794;2125
1090;48;95048;Gillette;;40.678251;-74.468317;3149
1091;49;95049;Gladstone;;40.720284;-74.666371;4685
1092;50;95050;Glen Ridge;;40.80059;-74.204655;1101
1093;51;95051;Glen Rock Boro Hall;;40.96137;-74.1293;2125
1094;52;95052;Glen Rock Main Line;;40.962206;-74.133485;2125
1095;54;95054;Hackettstown;;40.851444;-74.835352;4941
1096;55;95055;Hammonton;;39.631673;-74.79946;2893
1097;57;95057;Harriman;;41.293354;-74.13987;5197
1098;58;95058;Hawthorne;;40.942539;-74.152411;1869
1099;59;95059;Hazlet;;40.415385;-74.190393;4173
1100;60;95060;High Bridge;;40.666884;-74.895863;5453
1101;61;95061;Highland Avenue;;40.766863;-74.243744;1357
1102;62;95062;Hillsdale;;41.002414;-74.041033;2381
1103;63;95063;Hoboken;;40.734843;-74.028046;336
1104;64;95064;Hohokus;;40.997369;-74.113521;2637
1105;66;95066;Kingsland;;40.810121;-74.117334;589
1106;67;95067;Lake Hopatcong;;40.904219;-74.665697;4941
1107;68;95068;Lebanon;;40.636903;-74.835766;5197
1108;69;95069;Lincoln Park;;40.924138;-74.301826;2637
1109;70;95070;Linden;;40.629485;-74.251772;1869
1110;71;95071;Lindenwold;;39.833809;-75.000314;4941
1111;72;95072;Little Falls;;40.880669;-74.235372;2125
1112;73;95073;Little Silver;;40.326715;-74.041054;4941
1113;74;95074;Long Branch;;40.297145;-73.988331;5197
1114;75;95075;Lyndhurst;;40.816473;-74.124164;589
1115;76;95076;Lyons;;40.684844;-74.54947;3661
1116;77;95077;Madison;;40.757028;-74.415105;2893
1117;78;95078;Mahwah;;41.094416;-74.14662;3661
1118;79;95079;Manasquan;;40.120573;-74.047688;5965
1119;81;95081;Maplewood;;40.731149;-74.275427;1613
1120;84;95084;Metuchen;;40.540736;-74.360671;2893
1121;85;95085;Middletown NJ;;40.38978;-74.116131;4429
1122;86;95086;Middletown NY;;41.457488;-74.37039;5965
1123;87;95087;Millburn;;40.725622;-74.303755;1869
1124;88;95088;Millington;;40.673513;-74.523606;3661
1125;89;95089;Montclair Heights;;40.857536;-74.2025;1613
1126;90;95090;Montvale;;41.040879;-74.029152;2637
1127;91;95091;Morris Plains;;40.828637;-74.478197;4173
1128;92;95092;Morristown;;40.797113;-74.474086;3661
1129;93;95093;Mount Olive;;40.907376;-74.730653;4941
1130;94;95094;Mount Tabor;;40.875904;-74.481915;4173
1131;95;95095;Mountain Avenue;;40.848715;-74.205306;1613
1132;96;95096;Mountain Lakes;;40.885947;-74.433604;3661
1133;97;95097;Mountain Station;;40.755365;-74.253024;1357
1134;98;95098;Mountain View;;40.914402;-74.268158;2381
1135;99;95099;Murray Hill;;40.695068;-74.403134;2637
1136;100;95100;Nanuet;;41.090015;-74.014794;4941
1137;101;95101;Netcong;;40.897552;-74.707317;4941
1138;102;95102;Netherwood;;40.629148;-74.403455;2637
1139;104;95104;New Providence;;40.712022;-74.386501;2381
1140;106;95106;Newark Broad Street;;40.747621;-74.171943;589
1141;108;95108;North Branch;;40.59202;-74.683802;4685
1142;109;95109;North Elizabeth;;40.680265;-74.206165;1357
1143;110;95110;New Bridge Landing;;40.910856;-74.035044;1613
1144;111;95111;Oradell;;40.953478;-74.029983;1869
1145;112;95112;Orange;;40.771883;-74.233103;1101
1146;113;95113;Otisville;;41.471784;-74.529212;6221
1147;114;95114;Park Ridge;;41.032305;-74.036164;2637
1148;115;95115;Passaic;;40.849411;-74.133933;1101
1149;116;95116;Paterson;;40.914887;-74.16733;1613
1150;117;95117;Peapack;;40.708794;-74.658469;4685
1151;118;95118;Pearl River;;41.058181;-74.02232;4941
1152;119;95119;Perth Amboy;;40.509398;-74.273752;3149
1153;120;95120;Plainfield;;40.618425;-74.420163;2893
1154;121;95121;Plauderville;;40.884916;-74.102695;1357
1155;122;95122;Point Pleasant;;40.092718;-74.048191;5965
1156;123;95123;Port Jervis;;41.374899;-74.694622;6477
1157;124;95124;Princeton;;40.342088;-74.65887;25421
1158;126;95126;Radburn;;40.939914;-74.121617;1613
1159;127;95127;Rahway;;40.606338;-74.276692;2125
1160;128;95128;Ramsey;;41.056422;-74.141877;3149
1161;129;95129;Raritan;;40.571005;-74.634364;4429
1162;130;95130;Red Bank;;40.348284;-74.074538;4685
1163;131;95131;Ridgewood;;40.980629;-74.120592;2381
1164;132;95132;River Edge;;40.935146;-74.02914;1613
1165;134;95134;Rutherford;;40.828248;-74.100563;845
1166;135;95135;Salisbury Mills-Cornwall;;41.437073;-74.101871;5453
1167;136;95136;Short Hills;;40.725249;-74.323754;1869
1168;137;95137;Sloatsburg;;41.157138;-74.191307;3917
1169;138;95138;Somerville;;40.566075;-74.61397;4429
1170;139;95139;South Amboy;;40.484308;-74.28014;3405
1171;140;95140;South Orange;;40.745952;-74.260538;1357
1172;141;95141;Spring Lake;;40.150557;-74.035481;5709
1173;142;95142;Spring Valley;;41.111978;-74.043991;4941
1174;143;95143;Stirling;;40.674579;-74.493723;3661
1175;144;95144;Suffern;;41.11354;-74.153442;3661
1176;145;95145;Summit;;40.716549;-74.357807;2381
1177;146;95146;Teterboro;;40.864858;-74.062676;1101
1178;147;95147;Towaco;;40.922809;-74.343842;2893
1179;149;95149;Tuxedo;;41.194208;-74.18446;3917
1180;150;95150;Upper Montclair;;40.842004;-74.209368;1357
1181;151;95151;Waldwick;;41.012734;-74.123412;2637
1182;152;95152;Walnut Street;;40.817218;-74.20963;1357
1183;153;95153;Watchung Avenue;;40.829514;-74.206934;1357
1184;154;95154;Watsessing Avenue;;40.782743;-74.198451;1101
1185;155;95155;Westfield;;40.649448;-74.347629;2125
1186;156;95156;Westwood;;40.990817;-74.032696;2381
1187;157;95157;White House;;40.615611;-74.77066;4941
1188;158;95158;Woodbridge;;40.55661;-74.277751;2637
1189;159;95159;Woodcliff Lake;;41.021078;-74.040775;2637
1190;160;95160;Wood-Ridge;;40.843974;-74.078719;845
1191;31696;95162;Monmouth Park;;40.313425;-74.015172;4941
1192;32905;95163;Hamilton;;40.255309;-74.70412;5197
1193;32906;95065;Jersey Avenue;;40.476912;-74.467363;3661
1194;37169;95082;Aberdeen-Matawan;;40.420161;-74.223702;3917
1195;38081;95165;Montclair State University;;40.869782;-74.197439;1613
1196;38105;95166;Union;;40.683663;-74.238605;1357
1197;38174;95167;Secaucus Junction;;40.761188;-74.075821;333
1198;38417;95170;Ramsey Route 17;;41.07513;-74.145485;3149
1199;39472;95171;Mount Arlington;;40.89659;-74.632731;4941
1200;39635;95172;Wayne Route 23 Transit Center;;40.900254;-74.256971;2381
1201;40570;95174;Meadowlands;;40.813053;-74.072114;845
1202;43298;95183;Pennsauken Transit Center;;39.977769;-75.061796;5197
1203;43599;95184;Wesmont;;40.854979;-74.096951;1101
